type,product,normalized_product,quantity,max,min,avg,month,year,file
ΡΥΖΙ,tilda pure basmati original 1kg,NaN,1.0,6.89,3.89,5.62,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,σολεας 3a rice glasse (σούπες και γεμιστά) 1kg,NaN,1.0,2.82,1.77,2.12,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,uncle bens ρύζι μακρύκοκκο - parboiled (20 λεπτά) 1kg,NaN,1.0,4.07,2.75,3.48,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,σολεας 3a ρύζι basmati αυθεντικό αρωματικό1kg,NaN,1.0,4.59,2.65,3.24,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,σολεας 3a rice parboiled (πράσινη συσκευασία) 1kg,NaN,1.0,2.69,1.35,1.84,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,uncle bens ρύζι μακρύκοκκο - parboiled (10 λεπτά) 1kg,NaN,1.0,5.46,2.89,3.95,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,bali rice parboiled ρύζι μακρύκοκκο 1kg,NaN,1.0,3.39,2.35,3.09,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,tilda ρύζι basmati original 500gr - μπλέ συσκευασία,NaN,0.5,3.89,2.3,3.2,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΡΥΖΙ,σολεας 3a ρύζι καρολίνα 1kg - πράσινη συσκευασία,NaN,1.0,2.45,1.48,1.81,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,σολεας 3α φακές χονδρές 1kg,NaN,1.0,3.39,1.65,2.49,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,αγρινο φακές ψιλές 500gr,NaN,0.5,2.1,1.65,2.03,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,σολεας 3α φασόλια γίγαντες 500gr,NaN,0.5,4.45,2.99,3.55,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,σολεας 3α φασόλια αργεντινής 1kg,NaN,1.0,3.75,1.99,2.52,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,σολεας 3α ρεβύθια πλυμμένα χωρίς φλούδα 500gr,NaN,0.5,2.8,1.65,2.2,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,σολεας 3α λουβιά (εισαγώμενα) 1kg,NaN,1.0,4.19,2.35,3.11,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,3 άλφα φασόλια γίγαντες 500gr (α/φοι καραγεωργίου),NaN,0.5,4.19,3.18,3.84,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,μιτσιδης φασόλια μέτρια 1kg,NaN,1.0,3.5,2.1,3.09,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,μιτσιδης φακές ψιλές 1kg,NaN,1.0,2.59,1.65,2.32,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,μιτσιδης φακές χονδρές 1kg,NaN,1.0,2.95,1.65,2.3,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,μιτσιδης ρεβύθια σπαστά αποφλοιωμένα 500gr,NaN,0.5,3.15,2.0,2.76,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,natural life λουβιά 1kg,NaN,1.0,3.49,2.39,2.89,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΟΣΠΡΙΑ,αγρινο φασόλια μέτρια 500gr,NaN,0.5,1.85,1.85,1.85,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΠΟΥΡΓΟΥΡΙ,α. κεπολα πουργούρι ειδικό για πιλάφι 500gr,NaN,0.5,1.68,1.1,1.47,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΠΟΥΡΓΟΥΡΙ,μιτσιδης bulgur wheat για πιλάφι 500gr,NaN,0.5,1.95,0.95,1.6,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΠΟΥΡΓΟΥΡΙ,σολεας 3α πουργούρι για πιλάφι 500gr,NaN,0.5,1.99,1.19,1.48,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,χαραλαμπίδης - κρίστης ημιάπαχο (κίτρινο) 2ltr,χαραλαμπίδης - κρίστης ημιάπαχο (κίτρινο) 2ltr,2.0,3.1,2.19,2.69,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,χαραλαμπίδης - κρίστης ημιάπαχο (κίτρινο) 1ltr,NaN,1.0,1.6,1.19,1.38,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,χαραλαμπίδης - κρίστης πλήρες (κόκκινο) 2ltr,χαραλαμπίδης - κρίστης πλήρες (κόκκινο) 2ltr,2.0,3.1,2.55,2.7,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,λανιτης ημιάπαχο (κίτρινο) 2ltr,λανιτης ημιάπαχο (κίτρινο) 2ltr,2.0,3.1,2.58,2.7,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,χαραλαμπίδης - κρίστης delact ημιάπαχο 1ltr,NaN,1.0,1.85,1.49,1.6,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,χαραλαμπίδης - κρίστης άπαχο (μπλέ) 1ltr,NaN,1.0,1.6,1.19,1.38,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,"λανιτης ημιάπαχο (κίτρινο) 1,5ltr",NaN,1.5,2.38,1.92,2.02,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΟ ΓΑΛΑ,λανιτης πλήρες (κόκκινο) 2ltr,λανιτης πλήρες (κόκκινο) 2ltr,2.0,3.1,2.09,2.67,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,αλαμπρα η γιαγια πρόβειο γιαούρτι 700gr,NaN,0.7,2.99,1.92,2.49,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,χαραλαμπίδης - κρίστης στραγγάτο 1kg (καφέ συσκ.),χαραλαμπίδης - κρίστης στραγγάτο 1kg (καφέ συσκ.) f/f,1.0,4.9,3.65,4.03,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,ζητα στραγγιστό super light 1kg (ροζ συσκ.),NaN,1.0,3.7,2.49,3.05,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,χαραλαμπίδης - κρίστης στραγγάτο 1kg (καφέ συσκ.),χαραλαμπίδης - κρίστης στραγγάτο 1kg (καφέ συσκ.) f/f,1.0,4.9,3.65,4.03,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,ζητα super στραγγιστό 1kg (μπλέ συσκ.),ζητα super στραγγιστό 1kg (μπλέ συσκ.) f/f,1.0,3.7,2.49,3.06,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,ζητα super στραγγιστό 0% light 1kg (κίτρινη συσκ.),NaN,1.0,3.7,2.49,3.07,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,χαρ. - κρίστης στραγγάτο 0% 1kg (κίτρινη συσκ.),NaN,1.0,4.9,3.65,4.02,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΓΙΑΟΥΡΤΙ,γ&ι κεσες αυδημου πρόβειο 450gr,NaN,0.45,2.99,1.55,1.87,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,nescafe classic 200gr tin,NaN,2.0,5.99,4.39,5.22,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,nescafe classic 100gr tin,NaN,1.0,3.99,2.99,3.46,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,douwe egberts στιγμ. καφές εσπρέσο 100% arabica 95gr,NaN,0.95,6.99,5.3,6.06,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,jacobs gold επιλεγμένο χαρμάνι 95gr,NaN,0.95,4.13,2.95,3.85,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,jacobs εκλεκτός instant 100gr,NaN,0.1,4.85,3.06,4.12,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,nescafe azera espresso 100% arabica 95gr tin,NaN,0.95,6.49,4.55,5.87,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,celest instant classic 200gr,NaN,0.2,4.4,2.99,3.77,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,καφές λαικού χρυσος 200gr,NaN,0.2,3.48,2.49,2.78,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,γ. χαραλαμπους κλασσικός 200gr,NaN,0.2,3.38,2.19,2.65,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,καφές λαικού χρυσος 500gr,NaN,0.5,7.71,5.99,6.78,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΦΕΣ,γ. χαραλαμπους κλασσικός 500gr,NaN,0.5,7.98,5.99,6.58,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΕΥΡΙ,μιτσιδης αλεύρι φαρίνα '00' 1kg,NaN,1.0,1.75,1.08,1.32,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΕΥΡΙ,μιτσιδης αλεύρι χωριάτικο 1kg,NaN,1.0,1.9,1.1,1.46,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΕΥΡΙ,μιτσιδης αλεύρι για όλες τις χρήσεις 1kg,NaN,1.0,1.09,0.85,0.99,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΕΥΡΙ,θριαμβος αλεύρι φαρίνα '00' 1kg,NaN,1.0,1.59,0.9,1.32,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΕΥΡΙ,θριαμβος αλεύρι χωριάτικο 1kg,NaN,1.0,1.69,0.9,1.46,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΑΧΑΡΗ,ζάχαρη 1kg (φθηνότερη συσκευασία),NaN,1.0,1.1,0.59,0.91,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΥΓΑ,αυγά 12 τεμάχια (μ) - (53gr - 63gr) -(φθηνότερη συσκ.),NaN,12.0,3.98,1.79,2.29,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,philadelphia spread original 200gr,NaN,2.0,2.95,1.65,2.14,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,dirollo cottage cheese 225gr 2.2% λιπαρά,NaN,0.225,2.69,1.75,2.18,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,valio edam slices (17% fat) 250gr x 2,NaN,0.5,8.29,5.4,6.48,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,valio edam slices (24% fat) 250gr x 2,NaN,0.5,7.49,5.25,5.98,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,χαραλαμπίδης - κρίστης φέττα 200gr vaccum π.ο.π,NaN,0.2,3.49,2.08,2.95,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,δωδωνη φέττα 200gr,NaN,0.2,3.99,3.15,3.44,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,αλαμπρα τρίμμα 200gr (μείγμα χαλούμι - αναρή),NaN,0.2,5.2,2.63,3.93,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,la vache qui rit portion (16 τεμάχια) 267gr,NaN,0.267,4.88,3.6,4.19,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,valio gouda slices 250gr x2,NaN,0.5,7.99,5.25,6.3,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,χαρ. - κρίστης χαλλούμι ποπ 200gr (κόκκινη σ.),NaN,0.2,2.99,1.59,2.52,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,λανιτης χαλλούμι ποπ 225gr,NaN,0.225,2.83,1.95,2.43,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΤΥΡΙ,χαρ. - κρίστης αναρή φρέσκια αλατισμένη 300gr,NaN,0.3,2.14,0.9,1.72,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,kellogs coco pops chocos 500gr,NaN,0.5,4.29,2.95,3.73,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΒΡΩΜΗ,quaker oats classic 500gr bag,NaN,0.5,2.95,1.75,2.34,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,kellogs special k classic 500gr,NaN,0.5,4.29,3.09,3.87,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,kellogs coco pops 500gr,NaN,0.5,4.29,2.49,3.69,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,nestle lion cereal 400gr (καραμέλα και σοκολάτα),NaN,0.4,4.41,2.49,3.14,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,kellogs corn flakes 375gr,NaN,0.375,3.49,1.69,2.7,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,nestle fitness ολικής αλέσεως 375gr,NaN,0.375,3.49,2.29,3.05,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΔΗΜΗΤΡΙΑΚΑ,nestle fitness dark chocolate 375gr,NaN,0.375,4.8,2.49,3.53,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,γρηγοριου καπνιστή γαλοπούλα sliced 200gr,NaN,0.2,3.35,2.55,2.97,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,γρηγοριου λούντζα 'pork loin' sliced 150gr,NaN,0.15,3.59,2.23,2.97,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,γρηγοριου ζαμπόν / ηam sliced 300gr,NaN,0.3,4.15,2.29,3.59,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,χρυσοδαλια στήθος καπνιστή γαλοπούλα sliced 200gr,NaN,0.2,3.99,2.55,3.12,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,γρηγοριου streaky bacon sliced 150gr,NaN,0.15,2.99,1.87,2.35,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,snack γαλοπούλα καπνιστή / turkey smoked sliced 200gr,NaN,0.2,3.15,2.35,2.81,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΑΛΛΑΝΤΙΚΑ,χρυσοδαλια μπέικον sliced 300gr,NaN,0.3,4.33,2.39,3.52,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ ΤΟΝΟΥ,rio mare tuna in olive oil 160gr x 3 (1 free),NaN,0.48,9.59,6.98,8.52,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ ΤΟΝΟΥ,rio mare tuna in olive oil 80gr x 4 (1 free),NaN,0.32,7.59,5.15,6.54,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ ΤΟΝΟΥ,sevyco white tuna diet in water 185gr x 4 (ειδική τιμή),NaN,0.74,8.95,4.85,7.19,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ ΤΟΝΟΥ,sevyco tuna rose diet in water 95gr x 4 (ειδική τιμή),NaN,0.38,5.99,3.18,4.02,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ ΤΟΝΟΥ,sevyco white tuna diet in water 95gr x 4 (ειδική τιμή),NaN,0.38,5.46,3.5,4.46,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,tulip chopped ham 200gr,NaN,0.2,3.29,1.99,2.71,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,zwan chopped ham and pork 200gr,NaN,0.2,3.49,2.39,2.95,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,zwan luncheon meat pork 200gr,NaN,0.2,2.5,1.69,2.06,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,karla corned beef 340gr,NaN,0.34,3.3,2.5,2.91,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,nounou evaporated light 400gr (γαλάζια συσκ.),NaN,0.4,1.29,0.79,1.05,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,nounou evaporated 400gr (μπλέ συσκ.),NaN,0.4,1.29,0.79,1.06,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΟΝΣΕΡΒΕΣ,nounou condensed - ζαχαρούχο 397gr,NaN,0.397,1.49,0.89,1.28,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,αγιος νικολαος 1.5ltr x 6,NaN,9.0,2.85,1.95,2.32,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,αγρος 1.5ltr x 6,NaN,9.0,2.8,1.59,2.28,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,αγιος νικολαος 0.50 ltr x 12,NaN,6.0,3.48,2.29,2.75,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,κυκκος 1.5ltr x 6,NaN,9.0,2.69,1.79,2.16,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,αγρος 0.50 ltr x 12,NaN,6.0,3.65,2.25,2.8,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΕΜΦΙΑΛΩΜΕΝΟ ΝΕΡΟ,κυκκος 0.50 ltr x 12,NaN,6.0,3.39,1.99,2.63,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,edesma θράψαλο ροδέλες (squid rings) 700gr,NaN,0.7,7.35,4.72,6.22,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,findus σολωμός (4 pcs) 500gr,NaN,0.5,20.99,12.99,16.8,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,foodpax σολωμός ατλαντικού portions 125gr x 4,NaN,1.0,16.9,9.56,12.54,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,birds eye breaded cod 4 large fillets 440gr,NaN,4.4,10.99,6.95,8.76,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,nordsea 4 τραγανιστά φιλέτα ψαριού 300gr,NaN,3.0,5.59,3.45,4.32,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,edesma chicken nuggets 900gr,NaN,9.0,8.27,5.55,7.05,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,γρηγοριου hamburgers beef & pork (6 pcs) 480gr,NaN,0.48,5.34,2.95,3.94,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,creta farm εν ελλάδη νοστιμιές chicken nuggets 400gr,NaN,0.4,5.24,2.89,4.0,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,γρηγοριου burgers γαλοπούλας (6 pcs) 480gr,NaN,0.48,4.7,2.95,4.05,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,mitsides χωριάτικες ραβιόλες 375gr,NaN,0.375,3.99,2.25,3.5,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,creta farm en elladi chicken donner (γύρος κοτοπ.) 330gr,NaN,0.33,6.45,4.65,5.54,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΑΤΕΨΥΓΜΕΝΑ,creta farm en elladi pork donner (γύρος χοιρινός) 330gr,NaN,0.33,6.45,4.5,5.6,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,μιτσιδης χωριάτικα μακαρόνια 500gr (χάρτινη συσκ.),NaN,0.5,1.88,1.19,1.49,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,μιτσιδης spaghetti 500gr,NaN,0.5,1.65,0.76,1.13,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,melissa spaghetti no 6 500gr,NaN,0.5,1.65,0.84,1.26,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,barilla spaghetti no 5 500gr,NaN,0.5,1.69,0.89,1.29,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,melissa κριθαράκι (orzo) 500gr,NaN,0.5,1.75,1.09,1.4,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,μιτσιδης κριθαράκι (orzo) 500gr,NaN,0.5,1.65,0.95,1.28,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,barilla linguini 500gr,NaN,0.5,1.99,1.29,1.71,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΖΥΜΑΡΙΚΑ,melissa penne rigate 500gr,NaN,0.5,1.67,0.97,1.35,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΧΟΡΤΑ,χόρτα δέσμης,χόρτα δέσμης,1.0,0.45,0.27,0.34,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΧΟΡΤΑ,πατάτες φρέσκες (kg),πατάτες φρέσκες (kg),1.0,1.29,0.49,0.96,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΧΟΡΤΑ,ντομάτες α (kg),ντομάτες α (kg),1.0,3.4,2.15,2.89,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΧΟΡΤΑ,αγγουράκια θερμοκηπίου (kg),αγγουράκια θερμοκηπίου (kg),1.0,3.85,1.99,2.88,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΧΟΡΤΑ,αγγουράκια χωραφιού (kg),αγγουράκια χωραφιού (kg),1.0,4.35,2.95,3.54,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,χοιρινός λαπάς με κόκκαλο (kg),χοιρινός λαπάς με κόκκαλο (kg),1.0,6.4,3.89,5.22,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,χοιρινή μπριζόλα φιλέτο (kg),χοιρινή μπριζόλα φιλέτο (kg),1.0,6.4,4.25,4.89,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,χοιρινός κιμάς (από μερί) (kg),NaN,1.0,6.9,3.69,4.78,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,κοτόπουλο ολόκληρο (kg) (χαμηλότερη τιμή),κοτόπουλο ολόκληρο (kg),1.0,4.5,2.59,3.74,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,κοτόπουλο στήθος φιλέτο (kg) (χαμηλότερη τιμή),κοτόπουλο φιλέτο (kg),1.0,9.99,5.95,7.87,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,αμνοερίφια μικρά (kg),NaN,1.0,11.0,7.35,8.39,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,"βοδινό top-side (kg) (ψαχνό, χωρίς κόκκαλο και λίπος)",βοδινό top-side (kg),1.0,12.99,6.95,9.9,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,βοδινός κιμάς (kg) (από κουτάλα καθαρισμένη),βοδινός κιμάς (kg),1.0,10.0,5.95,7.55,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΚΡΕΑΣ,κουνέλι (kg) (χαμηλότερη τιμή),NaN,1.0,10.49,8.25,9.3,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,λαβράκι μεγάλο (kg),NaN,1.0,19.95,8.75,11.29,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,τσιπούρα μεγάλη (kg),NaN,1.0,12.95,6.49,8.85,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,γόπες (kg),NaN,1.0,9.99,6.75,8.6,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,μπαρμπούνι (kg),NaN,1.0,27.0,21.95,23.63,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,καλαμάρι μεγάλο (kg),καλαμάρι μεγάλο (kg),1.0,19.99,9.95,17.42,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,καλαμάρι μικρό (kg),καλαμάρι μικρό  (kg),1.0,15.95,9.95,12.21,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,χταπόδι μεγάλο (kg),χταπόδι μεγάλο (kg),1.0,23.99,14.49,19.79,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΦΡΕΣΚΑ ΨΑΡΙΑ/ΜΑΛΑΚΙΑ,χταπόδι μικρό (kg),NaN,1.0,17.95,10.95,12.58,4,2022,ΒασικάΚαταναλωτικάΑγαθά
ΨΩΜΙ,ψωμί άσπρο μεγάλο (900gr - 1000gr) (χαμηλότερη τιμή),ψωμί άσπρο μεγάλο (kg),1.0,2.2,0.99,1.48,4,2022,ΒασικάΚαταναλωτικάΑγαθά
